# This file is generated by MACS version 2.1.0.20150420,,,,,,,,,
# Command line: callpeak -t /group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/R3.q30.fixed.dedup.bam -c /group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/C3.q30.fixed.dedup.bam -f BAMPE -g mm -n Gran_KDctrl -q 0.05 --outdir /group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/peaks -B,,,,,,,,,
# ARGUMENTS LIST:,,,,,,,,,
# name = Gran_KDctrl,,,,,,,,,
# format = BAMPE,,,,,,,,,
# ChIP-seq file = ['/group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/R3.q30.fixed.dedup.bam'],,,,,,,,,
# control file = ['/group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/C3.q30.fixed.dedup.bam'],,,,,,,,,
# effective genome size = 1.87e+09,,,,,,,,,
# band width = 300,,,,,,,,,
"# model fold = [5, 50]",,,,,,,,,
# qvalue cutoff = 5.00e-02,,,,,,,,,
# Larger dataset will be scaled towards smaller dataset.,,,,,,,,,
# Range for calculating regional lambda is: 1000 bps and 10000 bps,,,,,,,,,
# Broad region calling is off,,,,,,,,,
,,,,,,,,,
# fragment size is determined as 239 bps,,,,,,,,,
# total fragments in treatment: 14924358,,,,,,,,,
# fragments after filtering in treatment: 14173386,,,,,,,,,
# maximum duplicate fragments in treatment = 1,,,,,,,,,
# Redundant rate in treatment: 0.05,,,,,,,,,
# total fragments in control: 12259787,,,,,,,,,
# fragments after filtering in control: 11695760,,,,,,,,,
# maximum duplicate fragments in control = 1,,,,,,,,,
# Redundant rate in control: 0.05,,,,,,,,,
# d = 239,,,,,,,,,
chr,start,end,length,abs_summit,pileup,#NAME?,fold_enrichment,#NAME?,name
chr1,4404465,4405173,709,4404501,13,7.2388,4.4941,4.52663,Gran_KDctrl_peak_1
chr1,4797667,4798208,542,4797879,152,9.6975,1.72184,6.82693,Gran_KDctrl_peak_2
chr1,4847698,4848501,804,4847848,226,12.61511,1.6751,9.58952,Gran_KDctrl_peak_3
chr1,5073205,5073511,307,5073376,121,19.87737,2.59299,16.55376,Gran_KDctrl_peak_4
chr1,6204306,6205596,1291,6204784,240,27.99151,2.22637,24.40293,Gran_KDctrl_peak_5
chr1,6262082,6262541,460,6262504,24,9.04139,3.874,6.20961,Gran_KDctrl_peak_6
chr1,6408065,6409004,940,6408224,13,3.85673,2.67102,1.4552,Gran_KDctrl_peak_7
chr1,6443647,6444091,445,6443822,19,6.6689,3.42035,3.99973,Gran_KDctrl_peak_8
chr1,6454871,6455162,292,6455137,43,9.97556,2.94587,7.0896,Gran_KDctrl_peak_9
chr1,6457047,6457325,279,6457324,117,3.87985,1.41478,1.47679,Gran_KDctrl_peak_10
chr1,6483085,6483415,331,6483086,16,3.70848,2.40821,1.32566,Gran_KDctrl_peak_11
chr1,6965685,6966503,819,6966431,29,5.84507,2.51962,3.24251,Gran_KDctrl_peak_12
chr1,6969457,6969899,443,6969486,25,7.22761,3.1435,4.51705,Gran_KDctrl_peak_13
chr1,7078779,7079216,438,7078984,704,35.20374,1.66063,31.40995,Gran_KDctrl_peak_14
chr1,7387125,7388367,1243,7388101,461,25.66874,1.70329,22.151,Gran_KDctrl_peak_15
chr1,9535943,9536223,281,9535961,53,7.2333,2.19469,4.52237,Gran_KDctrl_peak_16
chr1,9690381,9690848,468,9690570,215,14.2542,1.76783,11.1532,Gran_KDctrl_peak_17
chr1,9737713,9738678,966,9738553,334,14.67484,1.58123,11.55572,Gran_KDctrl_peak_18
chr1,9787362,9788058,697,9787600,32,11.38411,3.93534,8.42052,Gran_KDctrl_peak_19
chr1,9788454,9789654,1201,9789087,35,13.61648,4.35254,10.54447,Gran_KDctrl_peak_20
chr1,9795957,9796213,257,9796169,42,4.9632,1.99062,2.44424,Gran_KDctrl_peak_21
chr1,9838182,9838649,468,9838258,24,4.12963,2.21226,1.69812,Gran_KDctrl_peak_22
chr1,9849256,9849505,250,9849287,32,7.83315,2.92019,5.08117,Gran_KDctrl_peak_23
chr1,9935161,9935481,321,9935406,23,7.5273,3.39982,4.79503,Gran_KDctrl_peak_24
chr1,9957886,9958442,557,9958130,22,10.73108,4.82667,7.80293,Gran_KDctrl_peak_25
chr1,10028004,10028292,289,10028053,153,18.64234,2.23632,15.365,Gran_KDctrl_peak_26
