# This file is generated by MACS version 2.1.0.20150420,,,,,,,,,,,,
# Command line: callpeak -t /group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/R1.q30.fixed.dedup.bam -c /group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/C1.q30.fixed.dedup.bam -f BAMPE -g mm -n Stem_KDctrl -q 0.05 --outdir /group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/peaks -B,,,,,,,,,,,,
# ARGUMENTS LIST:,,,,,,,,,,,,
# name = Stem_KDctrl,,,,,,,,,,,,
# format = BAMPE,,,,,,,,,,,,
# ChIP-seq file = ['/group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/R1.q30.fixed.dedup.bam'],,,,,,,,,,,,
# control file = ['/group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/C1.q30.fixed.dedup.bam'],,,,,,,,,,,,
# effective genome size = 1.87e+09,,,,,,,,,,,,
# band width = 300,,,,,,,,,,,,
"# model fold = [5, 50]",,,,,,,,,,,,
# qvalue cutoff = 5.00e-02,,,,,,,,,,,,
# Larger dataset will be scaled towards smaller dataset.,,,,,,,,,,,,
# Range for calculating regional lambda is: 1000 bps and 10000 bps,,,,,,,,,,,,
# Broad region calling is off,,,,,,,,,,,,
,,,,,,,,,,,,
# fragment size is determined as 253 bps,,,,,,,,,,,,
# total fragments in treatment: 11424929,,,,,,,,,,,,
# fragments after filtering in treatment: 11005168,,,,,,,,,,,,
# maximum duplicate fragments in treatment = 1,,,,,,,,,,,,
# Redundant rate in treatment: 0.04,,,,,,,,,,,,
# total fragments in control: 14367738,,,,,,,,,,,,
# fragments after filtering in control: 13596558,,,,,,,,,,,,
# maximum duplicate fragments in control = 1,,,,,,,,,,,,
# Redundant rate in control: 0.05,,,,,,,,,,,,
# d = 253,,,,,,,,,,,,
chr,start,end,length,abs_summit,pileup,#NAME?,fold_enrichment,#NAME?,name,,,
chr1,18048538,18048793,256,18048559,17,7.94808,4.24765,3.05504,Stem_KDctrl_peak_1,,,255
chr1,24619328,24619998,671,24619953,4944,220.85338,1.62907,215.48265,Stem_KDctrl_peak_2,,,670
chr1,120878633,120879024,392,120878763,22,7.76507,3.57883,2.89523,Stem_KDctrl_peak_3,,,391
chr1,190484531,190484786,256,190484563,20,6.73359,3.35401,2.03328,Stem_KDctrl_peak_4,,,255
chr10,26985834,26986089,256,26985864,16,8.01978,4.43525,3.11522,Stem_KDctrl_peak_5,,,255
chr10,52424283,52424708,426,52424310,30,8.20564,3.13021,3.2822,Stem_KDctrl_peak_6,,,425
chr10,68996471,68996885,415,68996849,13,8.66547,5.34593,3.6838,Stem_KDctrl_peak_7,,,414
chr10,69903780,69904118,339,69903792,16,7.19822,4.01167,2.42691,Stem_KDctrl_peak_8,,,338
chr10,78784810,78785183,374,78785141,29,17.63192,6.69454,12.33536,Stem_KDctrl_peak_9,,,373
chr10,103893125,103893443,319,103893296,21,8.62404,4.0354,3.6526,Stem_KDctrl_peak_10,,,318
chr10,105907297,105907823,527,105907430,25,6.35636,2.859,1.75808,Stem_KDctrl_peak_11,,,526
chr10,106560860,106561207,348,106560870,29,6.86085,2.80036,2.1347,Stem_KDctrl_peak_12,,,347
chr10,108448207,108448552,346,108448516,19,7.90908,3.96272,3.02305,Stem_KDctrl_peak_13,,,345
chr10,109361377,109361682,306,109361484,25,7.69028,3.2995,2.8304,Stem_KDctrl_peak_14,,,305
chr10,109592708,109592969,262,109592773,27,7.00484,2.94774,2.26119,Stem_KDctrl_peak_15,,,261
chr11,3027144,3028007,864,3027581,262,44.68026,2.73658,39.33444,Stem_KDctrl_peak_16,,,863
chr11,3032628,3033178,551,3032895,319,6.67369,1.34137,1.98049,Stem_KDctrl_peak_17,,,550
chr11,3040692,3041321,630,3041032,147,8.51418,1.66628,3.55577,Stem_KDctrl_peak_18,,,629
chr11,3043079,3044675,1597,3044129,244,11.0033,1.57869,5.84141,Stem_KDctrl_peak_19,,,1596
chr11,3059470,3059766,297,3059657,194,8.45602,1.55194,3.50064,Stem_KDctrl_peak_20,,,296
chr11,45930151,45930444,294,45930185,20,14.44394,7.12973,9.18129,Stem_KDctrl_peak_21,,,293
chr11,94814883,94815551,669,94815164,18,14.72134,7.81814,9.45391,Stem_KDctrl_peak_22,,,668
chr12,24781692,24782055,364,24781984,18,7.64953,3.96789,2.79592,Stem_KDctrl_peak_23,,,363
chr12,38606911,38607585,675,38607043,23,6.1116,2.89691,1.55262,Stem_KDctrl_peak_24,,,674
chr12,58786001,58786321,321,58786121,36,11.7568,3.73606,6.56131,Stem_KDctrl_peak_25,,,320
chr12,59369433,59369772,340,59369636,40,8.6469,2.77779,3.67284,Stem_KDctrl_peak_26,,,339
chr12,91179137,91179537,401,91179485,28,10.77199,4.10151,5.62068,Stem_KDctrl_peak_27,,,400
chr13,3360202,3360532,331,3360445,46,6.58025,2.21331,1.90813,Stem_KDctrl_peak_28,,,330
chr13,4661856,4662130,275,4661874,33,6.0799,2.43718,1.52758,Stem_KDctrl_peak_29,,,274
chr13,62116995,62117425,431,62117202,111,6.80626,1.67247,2.09533,Stem_KDctrl_peak_30,,,430
chr13,73297832,73298093,262,73297907,45,9.30242,2.74079,4.26504,Stem_KDctrl_peak_31,,,261
chr13,78622579,78623250,672,78622659,27,8.37627,3.37973,3.42625,Stem_KDctrl_peak_32,,,671
chr13,84201536,84201892,357,84201841,18,9.65715,4.95704,4.58,Stem_KDctrl_peak_33,,,
chr14,9922256,9922611,356,9922561,13,9.34259,5.76074,4.29421,Stem_KDctrl_peak_34,,,
chr14,29269694,29270049,356,29269851,28,8.98091,3.50044,3.97068,Stem_KDctrl_peak_35,,,
chr14,38169281,38169660,380,38169490,36,12.48684,3.93785,7.26929,Stem_KDctrl_peak_36,,,
chr14,100683900,100684163,264,100683903,65,6.65499,1.95376,1.96497,Stem_KDctrl_peak_37,,,
chr15,32708373,32709077,705,32708571,31,18.98726,6.89308,13.6846,Stem_KDctrl_peak_38,,,
chr15,32850245,32850857,613,32850422,87,21.86376,3.37273,16.55095,Stem_KDctrl_peak_39,,,
chr15,68935459,68935974,516,68935644,11,5.81337,3.96888,1.3194,Stem_KDctrl_peak_40,,,
chr16,74283797,74284092,296,74284051,15,10.17865,5.83807,5.06969,Stem_KDctrl_peak_41,,,
chr16,90349984,90350344,361,90350138,34,20.47042,6.93476,15.16168,Stem_KDctrl_peak_42,,,
chr17,3084089,3084357,269,3084304,622,46.06203,1.88082,40.71562,Stem_KDctrl_peak_43,,,
chr17,11260727,11261063,337,11261025,21,8.70957,4.07198,3.72487,Stem_KDctrl_peak_44,,,
chr17,13743618,13743931,314,13743921,77,7.30851,1.9183,2.51794,Stem_KDctrl_peak_45,,,
chr17,76018055,76018347,293,76018279,18,10.98606,5.66323,5.82441,Stem_KDctrl_peak_46,,,
chr18,37302983,37303410,428,37303408,23,6.02317,2.86667,1.48158,Stem_KDctrl_peak_47,,,
chr18,42212349,42212684,336,42212613,31,5.80147,2.4351,1.31337,Stem_KDctrl_peak_48,,,
chr18,45173925,45174202,278,45174143,14,10.36607,6.17222,5.23846,Stem_KDctrl_peak_49,,,
chr18,45717738,45718121,384,45718016,14,9.56572,5.6856,4.4968,Stem_KDctrl_peak_50,,,
chr18,47308750,47309214,465,47308845,19,6.12621,3.1943,1.56395,Stem_KDctrl_peak_51,,,
chr18,51278016,51278305,290,51278081,18,6.03536,3.24429,1.48993,Stem_KDctrl_peak_52,,,
chr19,17911530,17912049,520,17911943,44,15.41986,4.11641,10.14457,Stem_KDctrl_peak_53,,,
chr2,20261378,20261687,310,20261561,19,6.57652,3.38139,1.90495,Stem_KDctrl_peak_54,,,
chr2,27351899,27352353,455,27351914,87,7.88987,1.89955,3.00705,Stem_KDctrl_peak_55,,,
chr2,63936386,63936671,286,63936389,44,6.06998,2.16029,1.51916,Stem_KDctrl_peak_56,,,
chr2,132210447,132210803,357,132210685,16,7.72803,4.28286,2.86226,Stem_KDctrl_peak_57,,,
chr2,141097753,141098053,301,141097914,13,7.47141,4.63036,2.63595,Stem_KDctrl_peak_58,,,
chr2,173076263,173076549,287,173076357,12,7.36394,4.74343,2.56081,Stem_KDctrl_peak_59,,,
chr3,11456524,11457323,800,11457033,17,7.94808,4.24765,3.05504,Stem_KDctrl_peak_60,,,
chr3,57098624,57099361,738,57098865,28,19.73075,7.91886,14.42508,Stem_KDctrl_peak_61,,,
chr3,64913204,64913754,551,64913317,14,10.36607,6.17222,5.23846,Stem_KDctrl_peak_62,,,
chr3,126865320,126865604,285,126865494,61,16.46018,3.44491,11.17305,Stem_KDctrl_peak_63,,,
chr4,17780214,17780714,501,17780526,38,16.55012,4.94926,11.26171,Stem_KDctrl_peak_64,,,
chr4,31729574,31729835,262,31729800,40,7.65011,2.56666,2.79626,Stem_KDctrl_peak_65,,,
chr4,65138261,65138640,380,65138349,19,10.50927,5.21794,5.36986,Stem_KDctrl_peak_66,,,
chr4,70437486,70437898,413,70437509,20,10.33106,4.9556,5.21253,Stem_KDctrl_peak_67,,,
chr4,76095798,76096415,618,76095833,32,7.62033,2.86401,2.76932,Stem_KDctrl_peak_68,,,
chr4,85768500,85768769,270,85768562,12,7.72487,4.96407,2.8598,Stem_KDctrl_peak_69,,,
chr4,110024147,110024481,335,110024149,43,6.40665,2.24302,1.8015,Stem_KDctrl_peak_70,,,
chr4,111359978,111360343,366,111360065,49,8.78895,2.53326,3.79478,Stem_KDctrl_peak_71,,,
chr4,142160686,142160938,253,142160822,17,13.59626,7.40666,8.34968,Stem_KDctrl_peak_72,,,
chr4,142915194,142915531,338,142915251,17,7.11661,3.84119,2.35967,Stem_KDctrl_peak_73,,,
chr5,15440473,15440951,479,15440741,38,9.54567,3.06208,4.47817,Stem_KDctrl_peak_74,,,
chr5,21666973,21667252,280,21667224,12,8.34866,5.34926,3.40077,Stem_KDctrl_peak_75,,,
chr5,47317663,47318104,442,47317837,34,7.16219,2.66339,2.39862,Stem_KDctrl_peak_76,,,
chr5,51943338,51943765,428,51943606,43,7.68699,2.48734,2.82827,Stem_KDctrl_peak_77,,,
chr5,89943903,89944198,296,89944070,15,11.41723,6.5837,6.23384,Stem_KDctrl_peak_78,,,
chr5,105356877,105357595,719,105356979,125,10.97219,1.91627,5.81199,Stem_KDctrl_peak_79,,,
chr6,5446348,5446815,468,5446563,36,13.11845,4.11732,7.88301,Stem_KDctrl_peak_80,,,
chr6,8727542,8728124,583,8728123,70,6.09162,1.83759,1.53804,Stem_KDctrl_peak_81,,,
chr6,18750486,18751328,843,18751111,41,11.65694,3.40585,6.4659,Stem_KDctrl_peak_82,,,
chr6,36338246,36338551,306,36338329,24,8.92288,3.82903,3.91609,Stem_KDctrl_peak_83,,,
chr6,36759881,36760543,663,36760048,35,8.3805,2.9193,3.42998,Stem_KDctrl_peak_84,,,
chr6,63206759,63207138,380,63207042,29,6.86085,2.80036,2.1347,Stem_KDctrl_peak_85,,,
chr6,66156589,66156895,307,66156731,16,8.99332,4.95883,3.97948,Stem_KDctrl_peak_86,,,
chr6,82033824,82034548,725,82034417,26,8.83227,3.61191,3.83453,Stem_KDctrl_peak_87,,,
chr6,126742047,126742341,295,126742079,13,9.33022,5.75312,4.29036,Stem_KDctrl_peak_88,,,
chr6,140305698,140306166,469,140306058,18,6.03536,3.24429,1.48993,Stem_KDctrl_peak_89,,,
chr7,7073846,7074134,289,7073983,120,11.42694,1.97695,6.24345,Stem_KDctrl_peak_90,,,
chr7,70357147,70357436,290,70357433,54,5.96073,1.98481,1.42828,Stem_KDctrl_peak_91,,,
chr8,32026514,32026891,378,32026579,23,10.07694,4.40226,4.97577,Stem_KDctrl_peak_92,,,
chr8,41272681,41273084,404,41273023,12,6.62668,4.29962,1.94203,Stem_KDctrl_peak_93,,,
chr8,41947572,41948183,612,41947905,49,17.19943,4.19216,11.90611,Stem_KDctrl_peak_94,,,
chr9,3024111,3024502,392,3024431,1253,26.25801,1.37319,20.93512,Stem_KDctrl_peak_95,,,
chr9,9238604,9238916,313,9238885,46,6.82287,2.25631,2.10059,Stem_KDctrl_peak_96,,,
