# This file is generated by MACS version 2.1.0.20150420,,,,,,,,,
# Command line: callpeak -t /group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/R2.q30.fixed.dedup.bam -c /group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/C2.q30.fixed.dedup.bam -f BAMPE -g mm -n CMP_KDctrl -q 0.05 --outdir /group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/peaks -B,,,,,,,,,
# ARGUMENTS LIST:,,,,,,,,,
# name = CMP_KDctrl,,,,,,,,,
# format = BAMPE,,,,,,,,,
# ChIP-seq file = ['/group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/R2.q30.fixed.dedup.bam'],,,,,,,,,
# control file = ['/group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/C2.q30.fixed.dedup.bam'],,,,,,,,,
# effective genome size = 1.87e+09,,,,,,,,,
# band width = 300,,,,,,,,,
"# model fold = [5, 50]",,,,,,,,,
# qvalue cutoff = 5.00e-02,,,,,,,,,
# Larger dataset will be scaled towards smaller dataset.,,,,,,,,,
# Range for calculating regional lambda is: 1000 bps and 10000 bps,,,,,,,,,
# Broad region calling is off,,,,,,,,,
,,,,,,,,,
# fragment size is determined as 235 bps,,,,,,,,,
# total fragments in treatment: 18288398,,,,,,,,,
# fragments after filtering in treatment: 17280844,,,,,,,,,
# maximum duplicate fragments in treatment = 1,,,,,,,,,
# Redundant rate in treatment: 0.06,,,,,,,,,
# total fragments in control: 14850457,,,,,,,,,
# fragments after filtering in control: 14040448,,,,,,,,,
# maximum duplicate fragments in control = 1,,,,,,,,,
# Redundant rate in control: 0.05,,,,,,,,,
# d = 235,,,,,,,,,
chr,start,end,length,abs_summit,pileup,#NAME?,fold_enrichment,#NAME?,name
chr1,4797872,4798208,337,4797919,240,6.23341,1.38565,3.16329,CMP_KDctrl_peak_1
chr1,4848069,4848379,311,4848070,220,4.56567,1.32318,1.76954,CMP_KDctrl_peak_2
chr1,6483202,6483442,241,6483386,26,4.43527,2.23563,1.66583,CMP_KDctrl_peak_3
chr1,6959941,6960227,287,6959998,57,8.91249,2.37851,5.48108,CMP_KDctrl_peak_4
chr1,7387531,7388113,583,7388006,409,4.04523,1.20777,1.35268,CMP_KDctrl_peak_5
chr1,7766953,7767351,399,7767016,15,7.82395,4.49085,4.529,CMP_KDctrl_peak_6
chr1,7814233,7814563,331,7814263,22,4.45447,2.39196,1.68002,CMP_KDctrl_peak_7
chr1,9763086,9763424,339,9763341,106,15.71275,2.42753,11.53784,CMP_KDctrl_peak_8
chr1,9787383,9787685,303,9787674,52,7.47029,2.24954,4.2238,CMP_KDctrl_peak_9
chr1,9795930,9796171,242,9796169,124,4.55399,1.45477,1.75897,CMP_KDctrl_peak_10
chr1,9813737,9813993,257,9813752,18,4.96888,2.80041,2.09868,CMP_KDctrl_peak_11
chr1,9837339,9837870,532,9837867,47,4.71097,1.87384,1.89156,CMP_KDctrl_peak_12
chr1,9897134,9897433,300,9897349,18,9.07516,4.66032,5.62236,CMP_KDctrl_peak_13
chr1,10029890,10030180,291,10029892,301,4.33407,1.25952,1.58203,CMP_KDctrl_peak_14
chr1,10222524,10223016,493,10223015,197,4.23761,1.3261,1.50026,CMP_KDctrl_peak_15
chr1,10251406,10251750,345,10251695,63,8.23047,2.18369,4.88389,CMP_KDctrl_peak_16
chr1,10321928,10322167,240,10322095,13,5.64744,3.59679,2.66781,CMP_KDctrl_peak_17
