"peaks_file_top1000.chr"	"peaks_file_top1000.abs_summit...peak_size_for_MEME"	"peaks_file_top1000.abs_summit...peak_size_for_MEME.1"	"peaks_file_top1000.name"
"1"	"chrM"	15427	15827	"CMP_KDctrl_peak_10951"
"2"	"chr17"	39982465	39982865	"CMP_KDctrl_peak_4747"
"3"	"chrM"	1239	1639	"CMP_KDctrl_peak_10950"
"4"	"chr11"	94815277	94815677	"CMP_KDctrl_peak_2067"
"5"	"chr17"	3084103	3084503	"CMP_KDctrl_peak_4501"
"6"	"chr3"	96292968	96293368	"CMP_KDctrl_peak_6848"
"7"	"chr7"	129602978	129603378	"CMP_KDctrl_peak_9662"
"8"	"chr17"	43275229	43275629	"CMP_KDctrl_peak_4754"
"9"	"chr17"	3081773	3082173	"CMP_KDctrl_peak_4500"
"10"	"chr12"	80273274	80273674	"CMP_KDctrl_peak_2543"
"11"	"chr9"	107182732	107183132	"CMP_KDctrl_peak_10824"
"12"	"chr17"	56214198	56214598	"CMP_KDctrl_peak_4842"
"13"	"chr11"	113034118	113034518	"CMP_KDctrl_peak_2216"
"14"	"chr3"	19935012	19935412	"CMP_KDctrl_peak_6531"
"15"	"chr13"	93124537	93124937	"CMP_KDctrl_peak_3132"
"16"	"chr1"	95374933	95375333	"CMP_KDctrl_peak_363"
"17"	"chr9"	111045946	111046346	"CMP_KDctrl_peak_10870"
"18"	"chr2"	38781866	38782266	"CMP_KDctrl_peak_5839"
"19"	"chr7"	13623326	13623726	"CMP_KDctrl_peak_9146"
"20"	"chr5"	106083490	106083890	"CMP_KDctrl_peak_8156"
"21"	"chr6"	124779256	124779656	"CMP_KDctrl_peak_8963"
"22"	"chr8"	72736274	72736674	"CMP_KDctrl_peak_10051"
"23"	"chr1"	94803746	94804146	"CMP_KDctrl_peak_351"
"24"	"chr10"	116500589	116500989	"CMP_KDctrl_peak_1417"
"25"	"chr11"	3059385	3059785	"CMP_KDctrl_peak_1535"
"26"	"chr6"	118369403	118369803	"CMP_KDctrl_peak_8911"
"27"	"chr1"	53908075	53908475	"CMP_KDctrl_peak_138"
"28"	"chr13"	101514172	101514572	"CMP_KDctrl_peak_3181"
"29"	"chr17"	13185195	13185595	"CMP_KDctrl_peak_4560"
"30"	"chr1"	162812077	162812477	"CMP_KDctrl_peak_641"
"31"	"chr17"	5189883	5190283	"CMP_KDctrl_peak_4509"
"32"	"chr7"	142772694	142773094	"CMP_KDctrl_peak_9765"
"33"	"chr9"	90127742	90128142	"CMP_KDctrl_peak_10760"
"34"	"chr7"	4088637	4089037	"CMP_KDctrl_peak_9122"
"35"	"chr4"	155265848	155266248	"CMP_KDctrl_peak_7837"
"36"	"chr1"	173432940	173433340	"CMP_KDctrl_peak_722"
"37"	"chr11"	59859650	59860050	"CMP_KDctrl_peak_1792"
"38"	"chr10"	116872288	116872688	"CMP_KDctrl_peak_1427"
"39"	"chr4"	116862487	116862887	"CMP_KDctrl_peak_7507"
"40"	"chr3"	84160098	84160498	"CMP_KDctrl_peak_6740"
"41"	"chr13"	23646813	23647213	"CMP_KDctrl_peak_2838"
"42"	"chr8"	42129049	42129449	"CMP_KDctrl_peak_9996"
"43"	"chr1"	90551608	90552008	"CMP_KDctrl_peak_309"
"44"	"chr7"	133792774	133793174	"CMP_KDctrl_peak_9685"
"45"	"chr12"	12301266	12301666	"CMP_KDctrl_peak_2347"
"46"	"chr15"	54921599	54921999	"CMP_KDctrl_peak_3853"
"47"	"chr17"	56098602	56099002	"CMP_KDctrl_peak_4840"
"48"	"chr15"	89259806	89260206	"CMP_KDctrl_peak_4047"
"49"	"chr4"	149450365	149450765	"CMP_KDctrl_peak_7772"
"50"	"chr3"	95428937	95429337	"CMP_KDctrl_peak_6827"
"51"	"chr6"	57641660	57642060	"CMP_KDctrl_peak_8701"
"52"	"chr3"	5860465	5860865	"CMP_KDctrl_peak_6493"
"53"	"chr13"	101421062	101421462	"CMP_KDctrl_peak_3178"
"54"	"chr1"	161726134	161726534	"CMP_KDctrl_peak_633"
"55"	"chr12"	88784379	88784779	"CMP_KDctrl_peak_2593"
"56"	"chr17"	56148635	56149035	"CMP_KDctrl_peak_4841"
"57"	"chr2"	154899882	154900282	"CMP_KDctrl_peak_6324"
"58"	"chr8"	108160265	108160665	"CMP_KDctrl_peak_10205"
"59"	"chr1"	36364698	36365098	"CMP_KDctrl_peak_66"
"60"	"chr7"	82831319	82831719	"CMP_KDctrl_peak_9432"
"61"	"chr12"	71212559	71212959	"CMP_KDctrl_peak_2487"
"62"	"chrX"	7291470	7291870	"CMP_KDctrl_peak_10955"
"63"	"chr17"	95233821	95234221	"CMP_KDctrl_peak_5045"
"64"	"chr3"	81736513	81736913	"CMP_KDctrl_peak_6730"
"65"	"chr1"	140515922	140516322	"CMP_KDctrl_peak_535"
"66"	"chr16"	95929831	95930231	"CMP_KDctrl_peak_4483"
"67"	"chr1"	163697105	163697505	"CMP_KDctrl_peak_647"
"68"	"chr1"	130511367	130511767	"CMP_KDctrl_peak_439"
"69"	"chr13"	51519673	51520073	"CMP_KDctrl_peak_2993"
"70"	"chr19"	25212542	25212942	"CMP_KDctrl_peak_5485"
"71"	"chr8"	97855870	97856270	"CMP_KDctrl_peak_10183"
"72"	"chr8"	13287741	13288141	"CMP_KDctrl_peak_9904"
"73"	"chr2"	143760144	143760544	"CMP_KDctrl_peak_6237"
"74"	"chr9"	123022030	123022430	"CMP_KDctrl_peak_10941"
"75"	"chr15"	103070287	103070687	"CMP_KDctrl_peak_4128"
"76"	"chr5"	8798089	8798489	"CMP_KDctrl_peak_7866"
"77"	"chr14"	67627457	67627857	"CMP_KDctrl_peak_3558"
"78"	"chr5"	36881358	36881758	"CMP_KDctrl_peak_7963"
"79"	"chr4"	130338471	130338871	"CMP_KDctrl_peak_7611"
"80"	"chr9"	77602225	77602625	"CMP_KDctrl_peak_10718"
"81"	"chr2"	102788519	102788919	"CMP_KDctrl_peak_6040"
"82"	"chr9"	100346544	100346944	"CMP_KDctrl_peak_10795"
"83"	"chr16"	95923509	95923909	"CMP_KDctrl_peak_4482"
"84"	"chr2"	157854195	157854595	"CMP_KDctrl_peak_6354"
"85"	"chr1"	187152871	187153271	"CMP_KDctrl_peak_852"
"86"	"chr16"	96846372	96846772	"CMP_KDctrl_peak_4489"
"87"	"chr10"	84647692	84648092	"CMP_KDctrl_peak_1292"
"88"	"chr7"	134731656	134732056	"CMP_KDctrl_peak_9713"
"89"	"chr10"	116363607	116364007	"CMP_KDctrl_peak_1416"
"90"	"chr7"	117967214	117967614	"CMP_KDctrl_peak_9597"
"91"	"chr2"	169980730	169981130	"CMP_KDctrl_peak_6442"
"92"	"chr1"	95721794	95722194	"CMP_KDctrl_peak_371"
"93"	"chr5"	22938714	22939114	"CMP_KDctrl_peak_7889"
"94"	"chr7"	148633080	148633480	"CMP_KDctrl_peak_9820"
"95"	"chr3"	100807721	100808121	"CMP_KDctrl_peak_6878"
"96"	"chr3"	87981604	87982004	"CMP_KDctrl_peak_6770"
"97"	"chr17"	7634604	7635004	"CMP_KDctrl_peak_4536"
"98"	"chr12"	60162098	60162498	"CMP_KDctrl_peak_2471"
"99"	"chr4"	52929607	52930007	"CMP_KDctrl_peak_7302"
"100"	"chr11"	108873014	108873414	"CMP_KDctrl_peak_2200"
"101"	"chr10"	59027313	59027713	"CMP_KDctrl_peak_1104"
"102"	"chr7"	148513535	148513935	"CMP_KDctrl_peak_9815"
"103"	"chr3"	60272740	60273140	"CMP_KDctrl_peak_6670"
"104"	"chr4"	115747569	115747969	"CMP_KDctrl_peak_7492"
"105"	"chr5"	130499812	130500212	"CMP_KDctrl_peak_8335"
"106"	"chr17"	23863437	23863837	"CMP_KDctrl_peak_4590"
"107"	"chr16"	91728927	91729327	"CMP_KDctrl_peak_4445"
"108"	"chr8"	109207036	109207436	"CMP_KDctrl_peak_10218"
"109"	"chr16"	18655539	18655939	"CMP_KDctrl_peak_4206"
"110"	"chr6"	71858876	71859276	"CMP_KDctrl_peak_8727"
"111"	"chr8"	72273507	72273907	"CMP_KDctrl_peak_10045"
"112"	"chr6"	115773910	115774310	"CMP_KDctrl_peak_8897"
"113"	"chr19"	3388760	3389160	"CMP_KDctrl_peak_5329"
"114"	"chr1"	94868682	94869082	"CMP_KDctrl_peak_354"
"115"	"chr7"	109044915	109045315	"CMP_KDctrl_peak_9560"
"116"	"chr1"	136681294	136681694	"CMP_KDctrl_peak_505"
"117"	"chr4"	93001827	93002227	"CMP_KDctrl_peak_7398"
"118"	"chr2"	166888198	166888598	"CMP_KDctrl_peak_6412"
"119"	"chr11"	22593309	22593709	"CMP_KDctrl_peak_1621"
"120"	"chr6"	57718997	57719397	"CMP_KDctrl_peak_8702"
"121"	"chr2"	117822312	117822712	"CMP_KDctrl_peak_6088"
"122"	"chr5"	24414353	24414753	"CMP_KDctrl_peak_7905"
"123"	"chr2"	68745810	68746210	"CMP_KDctrl_peak_5910"
"124"	"chr12"	93037538	93037938	"CMP_KDctrl_peak_2602"
"125"	"chr5"	77380403	77380803	"CMP_KDctrl_peak_8067"
"126"	"chr16"	4683775	4684175	"CMP_KDctrl_peak_4139"
"127"	"chr5"	124562020	124562420	"CMP_KDctrl_peak_8303"
"128"	"chr7"	109415798	109416198	"CMP_KDctrl_peak_9569"
"129"	"chr12"	103943347	103943747	"CMP_KDctrl_peak_2655"
"130"	"chr2"	130250061	130250461	"CMP_KDctrl_peak_6179"
"131"	"chr11"	58976854	58977254	"CMP_KDctrl_peak_1780"
"132"	"chr13"	101446133	101446533	"CMP_KDctrl_peak_3180"
"133"	"chr9"	104241321	104241721	"CMP_KDctrl_peak_10808"
"134"	"chr2"	174967157	174967557	"CMP_KDctrl_peak_6466"
"135"	"chr5"	102215152	102215552	"CMP_KDctrl_peak_8128"
"136"	"chr3"	115518696	115519096	"CMP_KDctrl_peak_6957"
"137"	"chr5"	92699533	92699933	"CMP_KDctrl_peak_8094"
"138"	"chr1"	179643997	179644397	"CMP_KDctrl_peak_777"
"139"	"chr11"	98803298	98803698	"CMP_KDctrl_peak_2116"
"140"	"chr13"	28708853	28709253	"CMP_KDctrl_peak_2868"
"141"	"chr17"	15244093	15244493	"CMP_KDctrl_peak_4566"
"142"	"chr1"	195155549	195155949	"CMP_KDctrl_peak_885"
"143"	"chr2"	158477175	158477575	"CMP_KDctrl_peak_6359"
"144"	"chr18"	67884022	67884422	"CMP_KDctrl_peak_5241"
"145"	"chr7"	75289133	75289533	"CMP_KDctrl_peak_9406"
"146"	"chr13"	104564179	104564579	"CMP_KDctrl_peak_3196"
"147"	"chr11"	106650082	106650482	"CMP_KDctrl_peak_2186"
"148"	"chr3"	94778669	94779069	"CMP_KDctrl_peak_6813"
"149"	"chr6"	8445219	8445619	"CMP_KDctrl_peak_8515"
"150"	"chr6"	142801034	142801434	"CMP_KDctrl_peak_9073"
"151"	"chr13"	70776692	70777092	"CMP_KDctrl_peak_3093"
"152"	"chr2"	24222715	24223115	"CMP_KDctrl_peak_5722"
"153"	"chr4"	133466681	133467081	"CMP_KDctrl_peak_7652"
"154"	"chr11"	53608619	53609019	"CMP_KDctrl_peak_1741"
"155"	"chr6"	17335615	17336015	"CMP_KDctrl_peak_8539"
"156"	"chr2"	34987555	34987955	"CMP_KDctrl_peak_5814"
"157"	"chr7"	134160616	134161016	"CMP_KDctrl_peak_9697"
"158"	"chr9"	111331604	111332004	"CMP_KDctrl_peak_10873"
"159"	"chr2"	3458839	3459239	"CMP_KDctrl_peak_5631"
"160"	"chr9"	75407043	75407443	"CMP_KDctrl_peak_10711"
"161"	"chr9"	66643372	66643772	"CMP_KDctrl_peak_10670"
"162"	"chr8"	129453469	129453869	"CMP_KDctrl_peak_10380"
"163"	"chr4"	154975424	154975824	"CMP_KDctrl_peak_7831"
"164"	"chr6"	54904855	54905255	"CMP_KDctrl_peak_8692"
"165"	"chr1"	178744325	178744725	"CMP_KDctrl_peak_760"
"166"	"chr1"	16095469	16095869	"CMP_KDctrl_peak_25"
"167"	"chr7"	99590204	99590604	"CMP_KDctrl_peak_9508"
"168"	"chr8"	119256777	119257177	"CMP_KDctrl_peak_10273"
"169"	"chr9"	41759066	41759466	"CMP_KDctrl_peak_10490"
"170"	"chr8"	129108204	129108604	"CMP_KDctrl_peak_10361"
"171"	"chr3"	61963055	61963455	"CMP_KDctrl_peak_6683"
"172"	"chr18"	32227295	32227695	"CMP_KDctrl_peak_5115"
"173"	"chr10"	126725961	126726361	"CMP_KDctrl_peak_1494"
"174"	"chr6"	6528253	6528653	"CMP_KDctrl_peak_8511"
"175"	"chr12"	52966905	52967305	"CMP_KDctrl_peak_2438"
"176"	"chr6"	83028392	83028792	"CMP_KDctrl_peak_8758"
"177"	"chr1"	193416201	193416601	"CMP_KDctrl_peak_874"
"178"	"chr8"	41473354	41473754	"CMP_KDctrl_peak_9991"
"179"	"chr9"	21760215	21760615	"CMP_KDctrl_peak_10443"
"180"	"chr17"	29144672	29145072	"CMP_KDctrl_peak_4658"
"181"	"chr1"	169214826	169215226	"CMP_KDctrl_peak_683"
"182"	"chr17"	68498721	68499121	"CMP_KDctrl_peak_4899"
"183"	"chr14"	103227011	103227411	"CMP_KDctrl_peak_3671"
"184"	"chr13"	21802002	21802402	"CMP_KDctrl_peak_2810"
"185"	"chr15"	40994589	40994989	"CMP_KDctrl_peak_3822"
"186"	"chr2"	152987027	152987427	"CMP_KDctrl_peak_6306"
"187"	"chr6"	47870554	47870954	"CMP_KDctrl_peak_8652"
"188"	"chr19"	10599792	10600192	"CMP_KDctrl_peak_5417"
"189"	"chr11"	97606239	97606639	"CMP_KDctrl_peak_2101"
"190"	"chr11"	120434247	120434647	"CMP_KDctrl_peak_2296"
"191"	"chr18"	35118337	35118737	"CMP_KDctrl_peak_5128"
