"peaks_file_top1000.chr"	"peaks_file_top1000.abs_summit...peak_size_for_MEME"	"peaks_file_top1000.abs_summit...peak_size_for_MEME.1"	"peaks_file_top1000.name"
"1"	"chrM"	15460	15860	"Gran_KDctrl_peak_17720"
"2"	"chr17"	3084101	3084501	"Gran_KDctrl_peak_7206"
"3"	"chr11"	3045438	3045838	"Gran_KDctrl_peak_2292"
"4"	"chr5"	143668025	143668425	"Gran_KDctrl_peak_13562"
"5"	"chrM"	1239	1639	"Gran_KDctrl_peak_17716"
"6"	"chr11"	3059378	3059778	"Gran_KDctrl_peak_2296"
"7"	"chr11"	3074175	3074575	"Gran_KDctrl_peak_2300"
"8"	"chr17"	87681843	87682243	"Gran_KDctrl_peak_7981"
"9"	"chr11"	3027341	3027741	"Gran_KDctrl_peak_2290"
"10"	"chr15"	102236223	102236623	"Gran_KDctrl_peak_6587"
"11"	"chr5"	34000795	34001195	"Gran_KDctrl_peak_12762"
"12"	"chr4"	155571604	155572004	"Gran_KDctrl_peak_12579"
"13"	"chr14"	120876943	120877343	"Gran_KDctrl_peak_5808"
"14"	"chr1"	94830954	94831354	"Gran_KDctrl_peak_500"
"15"	"chr10"	4522121	4522521	"Gran_KDctrl_peak_1247"
"16"	"chr7"	109415795	109416195	"Gran_KDctrl_peak_15451"
"17"	"chr4"	8574406	8574806	"Gran_KDctrl_peak_11505"
"18"	"chr4"	154975516	154975916	"Gran_KDctrl_peak_12560"
"19"	"chr8"	75094736	75095136	"Gran_KDctrl_peak_16336"
"20"	"chr13"	81025063	81025463	"Gran_KDctrl_peak_4852"
"21"	"chr2"	79095202	79095602	"Gran_KDctrl_peak_9687"
"22"	"chr6"	124779256	124779656	"Gran_KDctrl_peak_14430"
"23"	"chr3"	95428735	95429135	"Gran_KDctrl_peak_10990"
"24"	"chr13"	23830613	23831013	"Gran_KDctrl_peak_4440"
"25"	"chr13"	24892783	24893183	"Gran_KDctrl_peak_4464"
"26"	"chr5"	125869739	125870139	"Gran_KDctrl_peak_13393"
"27"	"chrM"	4564	4964	"Gran_KDctrl_peak_17717"
"28"	"chr18"	76400852	76401252	"Gran_KDctrl_peak_8463"
"29"	"chr9"	66643296	66643696	"Gran_KDctrl_peak_17251"
"30"	"chr9"	111045982	111046382	"Gran_KDctrl_peak_17592"
"31"	"chr13"	108680318	108680718	"Gran_KDctrl_peak_5025"
"32"	"chr16"	38088937	38089337	"Gran_KDctrl_peak_6887"
"33"	"chr7"	26022917	26023317	"Gran_KDctrl_peak_14839"
"34"	"chr1"	178744325	178744725	"Gran_KDctrl_peak_1073"
"35"	"chr1"	95375217	95375617	"Gran_KDctrl_peak_510"
"36"	"chr11"	113034120	113034520	"Gran_KDctrl_peak_3374"
"37"	"chr11"	3057678	3058078	"Gran_KDctrl_peak_2295"
"38"	"chr12"	40949578	40949978	"Gran_KDctrl_peak_3726"
"39"	"chr13"	58229868	58230268	"Gran_KDctrl_peak_4719"
"40"	"chr8"	72736278	72736678	"Gran_KDctrl_peak_16266"
"41"	"chr15"	81641484	81641884	"Gran_KDctrl_peak_6351"
"42"	"chr1"	95700357	95700757	"Gran_KDctrl_peak_517"
"43"	"chr16"	91728911	91729311	"Gran_KDctrl_peak_7130"
"44"	"chr8"	73063067	73063467	"Gran_KDctrl_peak_16274"
"45"	"chr7"	148513476	148513876	"Gran_KDctrl_peak_15862"
"46"	"chr12"	82046799	82047199	"Gran_KDctrl_peak_3925"
"47"	"chr5"	43624261	43624661	"Gran_KDctrl_peak_12813"
"48"	"chr1"	53907878	53908278	"Gran_KDctrl_peak_199"
"49"	"chr1"	94803781	94804181	"Gran_KDctrl_peak_497"
"50"	"chr15"	100445539	100445939	"Gran_KDctrl_peak_6543"
"51"	"chr13"	93124737	93125137	"Gran_KDctrl_peak_4907"
"52"	"chr13"	91062344	91062744	"Gran_KDctrl_peak_4892"
"53"	"chr16"	36071716	36072116	"Gran_KDctrl_peak_6870"
"54"	"chr7"	28258428	28258828	"Gran_KDctrl_peak_14869"
"55"	"chr15"	80085679	80086079	"Gran_KDctrl_peak_6334"
"56"	"chr9"	26837782	26838182	"Gran_KDctrl_peak_16948"
"57"	"chr7"	109399015	109399415	"Gran_KDctrl_peak_15450"
"58"	"chr16"	70314413	70314813	"Gran_KDctrl_peak_7037"
"59"	"chr3"	132973112	132973512	"Gran_KDctrl_peak_11310"
"60"	"chr17"	39982595	39982995	"Gran_KDctrl_peak_7626"
"61"	"chr6"	88791940	88792340	"Gran_KDctrl_peak_14152"
"62"	"chr5"	130417465	130417865	"Gran_KDctrl_peak_13413"
"63"	"chr19"	6363466	6363866	"Gran_KDctrl_peak_8647"
"64"	"chr7"	16683626	16684026	"Gran_KDctrl_peak_14740"
"65"	"chr11"	3033353	3033753	"Gran_KDctrl_peak_2291"
"66"	"chr17"	84518737	84519137	"Gran_KDctrl_peak_7952"
"67"	"chr10"	98376867	98377267	"Gran_KDctrl_peak_2063"
"68"	"chr17"	48548943	48549343	"Gran_KDctrl_peak_7725"
"69"	"chr12"	119539881	119540281	"Gran_KDctrl_peak_4262"
"70"	"chr1"	167390912	167391312	"Gran_KDctrl_peak_944"
"71"	"chr4"	137149700	137150100	"Gran_KDctrl_peak_12370"
"72"	"chr3"	120994540	120994940	"Gran_KDctrl_peak_11232"
"73"	"chr6"	85282988	85283388	"Gran_KDctrl_peak_14087"
"74"	"chr17"	57171054	57171454	"Gran_KDctrl_peak_7788"
"75"	"chr19"	7054507	7054907	"Gran_KDctrl_peak_8659"
"76"	"chr2"	5872175	5872575	"Gran_KDctrl_peak_9142"
"77"	"chr1"	95239307	95239707	"Gran_KDctrl_peak_507"
"78"	"chr17"	74694221	74694621	"Gran_KDctrl_peak_7878"
"79"	"chr5"	123270944	123271344	"Gran_KDctrl_peak_13350"
"80"	"chr17"	3114860	3115260	"Gran_KDctrl_peak_7207"
"81"	"chr11"	3023901	3024301	"Gran_KDctrl_peak_2288"
"82"	"chr17"	56218502	56218902	"Gran_KDctrl_peak_7762"
"83"	"chr9"	13631701	13632101	"Gran_KDctrl_peak_16858"
"84"	"chr1"	127457256	127457656	"Gran_KDctrl_peak_612"
